GrLivArea,BedroomAbvGr,FullBath,SalePrice
1748,4,3,330265
1430,1,3,256422
1823,3,1,291241
2261,5,3,382996
1382,3,3,291132
1382,3,2,249062
2289,1,1,303943
1883,1,1,265365
1265,1,1,162998
1771,2,3,318643
1268,4,1,265258
1267,2,3,228234
1620,4,3,317047
543,4,2,192194
637,3,2,176102
1218,3,2,247739
993,4,2,171716
1657,4,2,304234
1045,2,3,219716
793,2,3,213427
2232,3,1,314931
1387,1,3,308136
1533,4,3,319563
787,2,2,174317
1227,3,3,234776
1555,2,2,263472
924,4,1,198104
1687,4,1,263958
1199,5,3,271776
1354,1,1,187488
1199,5,3,292592
2426,3,1,352047
1493,2,2,281454
971,3,2,186910
1911,4,2,330729
889,5,2,215355
1604,5,3,324595
520,5,1,155236
835,3,3,230003
1598,4,2,296355
1869,2,3,304440
1585,2,1,219353
1442,3,3,318337
1349,5,1,233978
760,1,3,199720
1140,3,1,216493
1269,3,1,218858
2028,4,2,344010
1671,2,1,261701
618,3,2,125646
1662,3,2,273020
1307,5,2,273142
1161,5,3,305462
1805,1,3,309871
2015,4,3,344755
1965,1,3,309788
1080,5,1,226477
1345,2,1,203594
1665,5,3,333005
1987,4,1,310870
1260,5,1,170569
1407,4,2,304777
946,4,2,199438
901,4,2,213948
1906,4,2,285566
2178,4,1,311129
1463,2,3,305823
2001,1,1,231786
1680,3,1,277324
1177,1,1,173996
1680,4,2,304543
2269,2,2,352740
1482,5,2,291848
2282,2,3,353720
500,4,1,127709
1910,2,3,300868
1543,2,2,269565
1350,4,3,322541
1545,2,1,193461
506,3,1,110427
1390,3,2,249264
1678,2,2,278046
2238,5,3,413763
1240,4,2,243356
1095,3,2,214130
1249,5,1,249452
1957,2,2,318509
1664,5,2,313819
1235,1,1,188100
1756,3,1,282823
1548,2,3,277153
1984,4,2,312386
1148,2,1,201202
1336,4,3,254459
1303,2,3,265173
768,5,2,198148
1648,5,2,273164
1630,5,3,310674
1502,1,1,213040
1382,4,3,312699
792,5,2,194060
1289,1,1,216057
1328,4,1,227343
1098,2,3,266987
1419,1,2,224000
1702,3,3,316243
2443,1,3,386099
1587,1,3,280979
1628,4,1,278140
1462,2,1,176668
540,3,2,207848
1486,5,2,300615
1530,5,3,314829
2731,1,3,399363
1403,4,3,277001
1650,4,2,304412
1482,5,1,272919
915,3,1,167399
2071,2,3,369949
1875,3,3,318104
1895,2,3,306773
1045,5,3,301216
2201,2,2,343932
799,4,1,195826
1793,1,3,290151
